Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
0.22028058452876134,-0.005232152774899528,0.07451617102583313,-0.016486514705539964,-4.726593730269846e-05,0.00233902636294599,0.0205795397988651,-0.003175630795146176
0.12384041159441712,0.008615033297233454,0.002935916867858113,-0.01564016042531513,0.0,-0.0016068947974602066,0.03388236756190061,-0.0038674995166426635
-0.030213994681275533,0.013104643775308594,-0.056438868695655696,-0.0008979182993869136,0.0009925926035791537,-7.246961909054134e-05,0.035659459635301836,0.0021960277171657367
-0.10618785361991584,-0.004946208742719289,-0.04992138533836554,0.005007433572014366,0.0,-0.001030897076347242,-0.020310584927823505,0.0009670435105871289
-0.013352996554143926,0.0023599811814175157,-0.050208024619114194,-0.014631949779392025,-0.00017385115772289295,-0.0005945485091187403,-0.009457643880514604,0.0012042251368370072
-0.12063201639345607,0.002719524275601514,-0.0019733433996629063,0.012043190887234498,0.0004154487994256356,0.0015919616962621831,0.023515547676623057,0.0004165065425298298
-0.14216746026022234,-0.00965074239283812,0.04278480336984428,0.0007016447637366959,0.00043389590116628407,-0.0017217107347845143,0.02183375629213654,0.0007433798785688353
-0.0895670578953512,0.006896463037118931,-0.05191284567056407,0.016646459441806347,-0.0002458255624621791,-0.0018151408112793085,0.0069885235580459905,0.0012530040887016281
0.01236112907762038,-0.0041651574933281995,-0.09265956116160158,-0.013077998613412694,0.00022699596122935373,-0.0013754937788401191,-0.015552537681445624,0.001055171950768053
0.15420866671075764,0.00037390865240497645,-0.12119396091353958,-0.005445015612091643,0.0,0.0023115801591788196,0.021568849512998534,0.0
-0.0818225635758612,-0.00021398807945260945,-0.012990624047703962,-0.0034547506952190858,0.0005351328881560576,-0.0012766315661201743,-0.0033999052965591994,0.0019322929339922633
-0.003212625981489147,0.010332644060871848,-0.050383552279211,0.008416027368519093,0.0008570090472066541,0.0018344435461788125,-0.015973895399263353,0.0022383523203575095
0.032863685465574506,0.008614096656353994,0.11988850860626792,-0.00961546231363593,-0.0001743938458675931,-0.001320159844881528,0.047054465091452294,-0.0004161097174063374
-0.1490403946202234,-0.008078993187740448,0.10348625241815668,0.011154772232933126,6.286173706400444e-05,-0.0015725518257470547,-0.02448133297705685,0.0009648614323830444
-0.06361395491567137,-0.005989573990317641,-0.08941503316904674,0.004890940085180652,0.0003113655392149306,-0.0015907540593852435,0.04108711748374492,0.00041220636831191653
0.043186451947164854,0.01096982145151424,0.05162223214192041,0.004722005330008596,0.0,0.0010076472842633633,0.013965539615229927,0.0026536322551678855
0.16264789389904866,-0.012313594203240652,-0.08744413408763273,0.00641855422296858,0.0,-0.0021370605566283646,0.013770148710298644,-0.0038914210400882005
-0.1285907094399965,0.002278511626066845,-0.005321710073932078,-0.00817772329629698,0.00042314271094593954,8.905780036928823e-05,0.026798403081497786,0.0013097097484070991
