S1_Current density (A/cm2),S1_Voltage (V),S1_Faradaic efficiency,S1_CO conversion,S1_Crossover rate,S1_Capture energy (MJ/kgCO2),S1_Electricity price (USD/kWh),S1_Membrane cost (USD/m2),ST_Current density (A/cm2),ST_Voltage (V),ST_Faradaic efficiency,ST_CO conversion,ST_Crossover rate,ST_Capture energy (MJ/kgCO2),ST_Electricity price (USD/kWh),ST_Membrane cost (USD/m2)
0.6738959144710681,-0.0034867665743867813,0.324389650854803,-0.01682548848689351,-0.00634229941304639,-0.01462675326871827,0.030140513721155726,-0.012572713232965662,0.4755007034696286,1.0208827519195427,0.7406974736595034,0.9969565799462772,1.0058735151929876,1.011916153896397,0.9513407139317404,1.0115002598317624
0.5782808509696721,0.034931197302535154,0.3802551390834761,0.04584987023534714,0.039069283499414374,0.03774962430092225,0.0858105927776884,0.03592979783015395,0.37449498241309076,0.9628954621224182,0.6845599748865894,0.966486089757369,0.9605804104812595,0.9679874264789207,0.9349577775907326,0.9664979154377101
0.4877571751437479,-0.025713796364105732,0.23064848816628714,-0.01590347636746188,-0.020989889500470548,-0.0302684814341619,0.010353756729916171,-0.024582159506595213,0.39595507036191435,1.0232569641560487,0.6659653239624579,1.0181815526027826,1.0191135925160575,1.0276943770272895,0.9674415402041345,1.0242735254302404
0.6401503166683699,0.01602966474057995,0.3691033564923063,0.03049743740734802,0.020174667168120355,0.0069508000960572065,0.05804144279661695,0.013647708669068167,0.41667158163309304,0.9841773387030143,0.7000772862450451,0.9807901637863574,0.9873120809486302,0.9856350144669465,0.9440536334863987,0.9875240635090283
0.5520672452997897,-0.01179053756816916,0.2781111802371976,-0.014688265248721539,-0.007922607967549447,-0.01164011536909006,0.02726290011478979,-0.011450778208845866,0.38699695854325156,1.006139397047517,0.6659445397417316,0.996676185095896,1.005624411366827,1.0169442983688544,0.9642928410826979,1.012974729302985
0.5620241273331693,-0.02887604415305577,0.30055306032783924,-0.02443821161893374,-0.030801541963452486,-0.034525370582989996,0.023532741489855454,-0.03575873448599992,0.43380980141857206,1.0304705258496634,0.7309761771238787,1.0232992760193378,1.0226800183426015,1.0333511381785216,1.0081306421574128,1.0344586507113511
0.5775614810207621,0.021261351952906567,0.36895890716269264,0.018295762107821724,0.015486111473553388,0.014246997419739926,0.07908930698880007,0.015547387014883134,0.4055611469369913,0.9885153201088414,0.696513550582498,0.9760880857691996,0.9810460863162555,0.98764371610913,0.9589011970779668,0.9875371499068032
0.6141092438556266,0.004088215706456422,0.33961697556069537,0.010832620986590836,0.0063319092906283046,0.0010399491190888727,0.03872645628678359,0.0041744920046078255,0.42218379256479033,0.9906580012334055,0.6977037965819632,0.9898453736041215,0.9908042322585146,0.9983770579555402,0.948763695313693,0.9983269133630855
0.5584965333361228,-0.014050369602306063,0.2948600511215968,-0.011244615220022207,-0.013053253546658601,-0.022620955152583864,0.017200561465496807,-0.015530433031461392,0.4148625057316001,1.0180616852991071,0.6843238325838932,1.017459292249232,1.0122057550401449,1.0152528695800813,0.9558345189856078,1.0192371579390698
0.5836542362897447,0.014733071129500341,0.29727684121298503,0.025151963938690892,0.01998113469719322,0.014107371012366015,0.04618811438668395,0.008988178507252335,0.3925888101869771,0.981550432951216,0.6480125267060152,0.9798244274110831,0.9820277690626968,0.9880019219073014,0.9413453839511492,0.9878888607878995
0.5156685135776475,0.009785522351117707,0.30197715957514576,0.028519359582193322,0.015599354817796666,0.006904964030660449,0.03918620961115929,0.00466783856814448,0.2744000607941448,0.9860343539033469,0.6590889223104328,0.9899587041710692,0.9865922899255045,0.9901567736174808,0.9315036505989978,0.9895931333686938
0.5795818084985943,-0.015997151293380054,0.30755609105320525,-0.0024981470402114757,-0.007537911974255333,-0.014551837679991917,0.01969150723550181,-0.013873993712519975,0.3958664650171392,1.0112567500822391,0.7256620361640276,1.0067067410513761,1.0076664971753304,1.0176068595596808,0.9561227261189107,1.012337180629766
0.5845277284870374,0.01601899649101576,0.40895304464605414,0.029988225931519903,0.021467532899406182,0.01698371232050656,0.0644748105113871,0.013266840352788505,0.3749542874301791,0.9837223029980308,0.7358589763582803,0.9834606430140415,0.9867755807620933,0.98777893472441,0.9636722429966175,0.9900355966509823
0.452999577900043,-0.009008202035687564,0.28711352854415634,-0.00470469314072069,-0.0021989114911581164,-0.0013128088791848269,0.05622185674799361,-0.011189302258260538,0.25891214464957124,0.9963761672081257,0.6464185086177898,0.9871849415847144,1.0014962109930499,1.0105380839469833,0.9753252685924811,1.0066499952796601
0.6220926695319908,0.027399380083813596,0.3205546134199652,0.02852648025003601,0.025110654992310216,0.025159420577145,0.05774263291333537,0.022165282280058502,0.38811820712836653,0.9775593855846239,0.6499478852202467,0.9655054374898165,0.9743487574486789,0.9800868040384058,0.9235169362368915,0.9809264332795523
0.622580612528668,-0.004767079601821674,0.3321858570644756,0.004032256564046806,-0.0008503474404574121,-0.005111080137384357,0.028267764124054306,-0.004449403294230739,0.45233518608564505,0.9957907949965397,0.7207051013952108,0.9915718865166374,1.0026366141996945,1.0049703323663317,0.9571788656171353,1.0032453835857822
