Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),0.6319784527971902,0.6062660365040002
Voltage (V),0.003186563063467482,0.0029940855146619295
Faradaic efficiency,0.34228161078572644,0.31692350215204274
CO conversion,0.007071236952937947,0.007042197892062316
Crossover rate,2.5215353255684455e-05,-5.923884939631539e-05
Capture energy (MJ/kgCO2),0.00011126624873321821,0.0001265716115662774
Electricity price (USD/kWh),0.042110218912988766,0.04069014784543542
Membrane cost (USD/m2),0.0002225887477953497,0.00019784949424766192
